Tier,Type,Repository,URL,Description,Stars,Forks,Language,License,Updated,Active,Interface,ReferenceValue
Must Study,RAG / 向量记忆,mem0ai/mem0,https://github.com/mem0ai/mem0,Universal memory layer for AI Agents,58576,6728,Python,Apache-2.0,2026-06-15,Yes,SDK/API / App/demo,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,图谱记忆 / Graph memory,getzep/graphiti,https://github.com/getzep/graphiti,Build Real-Time Knowledge Graphs for AI Agents,27431,2745,Python,Apache-2.0,2026-06-12,Yes,App/demo,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,长期记忆框架 / Memory layer,supermemoryai/supermemory,https://github.com/supermemoryai/supermemory,"Memory and context engine + app that is extremely fast, scalable, and can be run fully locally. The Memory API for the AI era.",27014,2348,TypeScript,MIT,2026-06-15,Yes,SDK/API / App/demo,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,长期记忆框架 / Memory layer,letta-ai/letta,https://github.com/letta-ai/letta,Platform for stateful agents: AI with advanced memory that can learn and self-improve over time.,23332,2485,Python,Apache-2.0,2026-05-14,Yes,SDK/API,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,图谱记忆 / Graph memory,topoteretes/cognee,https://github.com/topoteretes/cognee,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,17830,1888,Python,Apache-2.0,2026-06-15,Yes,SDK/API,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,图谱记忆 / Graph memory,memvid/memvid,https://github.com/memvid/memvid,"Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.",15653,1352,Rust,Apache-2.0,2026-05-27,Yes,SDK/API,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,RAG / 向量记忆,MemoriLabs/Memori,https://github.com/MemoriLabs/Memori,"Memori is agent-native memory infrastructure. A LLM-agnostic layer that turns agent execution and conversation into structured, persistent state for production systems.",15287,2592,Python,NOASSERTION,2026-06-15,Yes,SDK/API / MCP/IDE,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,RAG / 向量记忆,NevaMind-AI/memU,https://github.com/NevaMind-AI/memU,"The memory harness for proactive AI agents — structured storage, intent capture, 10x token reduction.",13856,1036,Python,NOASSERTION,2026-06-14,Yes,MCP/IDE,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,RAG / 向量记忆,MemTensor/MemOS,https://github.com/MemTensor/MemOS,"Self-evolving memory OS for LLM & AI Agents: ultra-persistent memory, hybrid-retrieval, and cross-task skill reuse, with 35.24% token savings",9865,901,TypeScript,Apache-2.0,2026-06-15,Yes,MCP/IDE,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,RAG / 向量记忆,EverMind-AI/EverOS,https://github.com/EverMind-AI/EverOS,"Self-evolving memory across Agent and platform. The one portable memory layer for every agent they use - Claude Code, Codex, OpenClaw, Hermes, and more",7445,732,Python,Apache-2.0,2026-06-10,Yes,SDK/API / MCP/IDE,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,用户画像 / 个性化记忆,plastic-labs/honcho,https://github.com/plastic-labs/honcho, Memory library for building stateful agents,5157,627,Python,AGPL-3.0,2026-06-12,Yes,SDK/API / Framework / App/demo,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,RAG / 向量记忆,CaviraOSS/OpenMemory,https://github.com/CaviraOSS/OpenMemory,"Local persistent memory store for LLM applications including claude desktop, github copilot, codex, antigravity, etc.",4237,482,TypeScript,Apache-2.0,2026-05-29,Yes,MCP/IDE / App/demo,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,用户画像 / 个性化记忆,Mirix-AI/MIRIX,https://github.com/Mirix-AI/MIRIX,"Mirix is a multi-agent personal assistant designed to track on-screen activities and answer user questions intelligently. By capturing real-time visual data and consolidating it into structured memories, Mirix transforms raw inputs into a rich knowledge base that adapts to your digital experiences.",3553,289,Python,Apache-2.0,2026-06-06,Yes,App/demo,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,RAG / 向量记忆,agentscope-ai/ReMe,https://github.com/agentscope-ai/ReMe,"ReMe: Memory Management Kit for Agents - Remember Me, Refine Me.",3084,259,Python,Apache-2.0,2026-06-10,Yes,Unclear,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,用户画像 / 个性化记忆,memodb-io/memobase,https://github.com/memodb-io/memobase,User Profile-Based Long-Term Memory for AI Chatbot Applications. ,2755,219,Python,Apache-2.0,2026-01-11,Yes,App/demo,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
